station,latitude,longitude,sensor_serial_number,timestamp_utc,sensor_depth_at_low_tide_m,temperature_degree_c,qc_flag_temperature_degree_c
Church Point 2,44.32015,-66.135067,20495220,2020-02-24 23:45:00,2,2.45,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 00:00:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 00:15:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 00:30:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 00:45:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 01:00:00,2,2.45,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 01:15:00,2,2.45,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 01:30:00,2,2.45,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 01:45:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 02:00:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 02:15:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 02:30:00,2,2.503,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 02:45:00,2,2.503,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 03:00:00,2,2.503,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 03:15:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 03:30:00,2,2.503,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 03:45:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 04:00:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 04:15:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 04:30:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 04:45:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 05:00:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 05:15:00,2,2.45,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 05:30:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 05:45:00,2,2.423,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 06:00:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 06:15:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 06:30:00,2,2.45,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 06:45:00,2,2.423,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 07:00:00,2,2.396,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 07:15:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 07:30:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 07:45:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 08:00:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 08:15:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 08:30:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 08:45:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 09:00:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 09:15:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 09:30:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 09:45:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 10:00:00,2,2.343,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 10:15:00,2,2.37,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 10:30:00,2,2.396,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 10:45:00,2,2.396,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 11:00:00,2,2.423,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 11:15:00,2,2.45,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 11:30:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 11:45:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 12:00:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 12:15:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 12:30:00,2,2.477,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 12:45:00,2,2.503,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 13:00:00,2,2.53,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 13:15:00,2,2.53,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 13:30:00,2,2.53,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 13:45:00,2,2.53,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 14:00:00,2,2.584,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 14:15:00,2,2.61,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 14:30:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 14:45:00,2,2.664,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 15:00:00,2,2.664,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 15:15:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 15:30:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 15:45:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 16:00:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 16:15:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 16:30:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 16:45:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 17:00:00,2,2.664,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 17:15:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 17:30:00,2,2.61,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 17:45:00,2,2.61,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 18:00:00,2,2.61,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 18:15:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 18:30:00,2,2.637,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 18:45:00,2,2.584,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 19:00:00,2,2.557,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 19:15:00,2,2.557,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 19:30:00,2,2.557,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 19:45:00,2,2.557,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 20:00:00,2,2.557,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 20:15:00,2,2.557,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 20:30:00,2,2.557,Pass
Church Point 2,44.32015,-66.135067,20495220,2020-02-25 20:45:00,2,2.584,Pass
